"Cycle","Sample_ID","Condition","Discharge_Capacity.Ah."
100,2,1,3.227586
100,3,1,3.233368
100,4,1,3.243662
100,5,1,3.233295
100,6,1,3.256696
100,7,1,3.238292
100,8,1,3.231519
100,9,2,3.214702
100,10,2,3.221766
100,11,2,3.23241
100,12,2,3.217567
100,13,2,3.210394
100,14,2,3.227684
100,15,2,3.226667
100,16,2,3.220674
100,17,3,3.236538
100,18,3,3.246991
100,19,3,3.239629
100,20,3,3.238629
100,21,3,3.246576
100,22,3,3.232977
100,23,3,3.22912
100,25,4,3.212486
100,26,4,3.238091
100,28,4,3.217906
100,29,4,3.21485
100,30,4,3.214174
100,32,4,3.215249
100,33,5,3.2327
100,34,5,3.247749
100,35,5,3.23217
100,36,5,3.234792
100,37,5,3.240265
100,38,5,3.240528
100,39,5,3.233017
100,40,5,3.243974
100,41,6,3.222858
100,43,6,3.213884
100,44,6,3.214278
100,45,6,3.206499
100,46,6,3.208513
100,47,6,3.210476
100,48,6,3.217422
100,49,7,3.206847
100,50,7,3.22414
100,51,7,3.218901
100,52,7,3.203165
100,53,7,3.212632
100,54,7,3.209085
100,55,7,3.214939
100,56,7,3.223424
100,57,8,3.207623
100,58,8,3.206896
100,59,8,3.211639
100,60,8,3.208671
100,61,8,3.191503
100,62,8,3.210321
100,63,8,3.209345
100,64,8,3.205854
100,65,9,3.221105
100,66,9,3.221065
100,67,9,3.218932
100,68,9,3.216695
100,69,9,3.21704
100,70,9,3.212667
100,71,9,3.218019
100,72,9,3.223501
100,73,10,3.213425
100,74,10,3.211154
100,75,10,3.206182
100,76,10,3.19356
100,77,10,3.202803
100,78,10,3.200277
100,79,10,3.204956
100,80,10,3.211732
100,81,11,3.214068
100,82,11,3.214946
100,83,11,3.199884
100,84,11,3.211925
100,85,11,3.21126
100,86,11,3.202906
100,87,11,3.213503
100,88,11,3.209761
100,89,12,3.189265
100,90,12,3.190796
100,91,12,3.195887
100,92,12,3.199002
100,93,12,3.182802
100,94,12,3.193515
100,95,12,3.202075
100,96,12,3.185568
100,97,13,3.156822
100,98,13,3.153479
100,99,13,3.16137
100,100,13,3.157291
100,101,13,3.137738
100,102,13,3.162859
100,103,13,3.148467
100,104,13,3.155194
100,105,14,3.14826
100,106,14,3.145773
100,107,14,3.142334
100,108,14,3.145869
100,109,14,3.13868
100,110,14,3.14293
100,111,14,3.150572
100,112,14,3.137952
100,113,15,3.167517
100,114,15,3.158008
100,115,15,3.152323
100,116,15,3.150549
100,117,15,3.157762
100,118,15,3.154679
100,119,15,3.137658
100,120,15,3.141789
100,121,16,3.124874
100,122,16,3.130441
100,123,16,3.13908
100,124,16,3.122791
100,125,16,3.145388
100,126,16,3.126529
100,127,16,3.14432
100,128,16,3.108487
100,129,17,3.153326
100,130,17,3.171896
100,131,17,3.176477
100,132,17,3.160617
100,133,17,3.16597
100,134,17,3.167298
100,135,17,3.158313
100,136,17,3.162432
100,137,18,3.118603
100,138,18,3.120298
100,139,18,3.148942
100,140,18,3.138257
100,141,18,3.154314
100,142,18,3.136371
100,143,18,3.148808
100,144,18,3.132089
100,145,19,3.054661
100,146,19,3.045502
100,147,19,3.043241
100,148,19,3.06018
100,149,19,3.058001
100,150,19,3.055655
100,151,19,3.059631
100,152,19,3.053149
100,153,20,3.012896
100,154,20,2.982246
100,155,20,2.993355
100,156,20,3.011351
100,157,20,3.029368
100,158,20,3.011867
100,159,20,3.002128
100,160,20,2.993325
100,161,21,3.06951
100,162,21,3.07338
100,163,21,3.07345
100,164,21,3.069465
100,165,21,3.053422
100,166,21,3.042444
100,167,21,3.051472
100,168,21,3.058742
100,169,22,3.007711
100,170,22,2.982092
100,171,22,3.003881
100,172,22,2.995001
100,173,22,2.996567
100,174,22,3.00201
100,175,22,2.999296
100,176,22,2.991838
100,177,23,3.068428
100,178,23,3.065654
100,179,23,3.062371
100,185,24,2.410117
100,186,24,2.648211
100,187,24,2.596365
150,1,1,3.226869
150,2,1,3.213039
150,3,1,3.216371
150,4,1,3.218446
150,5,1,3.217363
150,6,1,3.233497
150,7,1,3.21208
150,8,1,3.209397
150,9,2,3.193733
150,10,2,3.202003
150,11,2,3.211838
150,12,2,3.188861
150,13,2,3.187706
150,14,2,3.209406
150,15,2,3.200284
150,16,2,3.197731
150,17,3,3.21429
150,18,3,3.225477
150,19,3,3.212909
150,20,3,3.21292
150,21,3,3.21451
150,22,3,3.214432
150,23,3,3.214051
150,25,4,3.196439
150,26,4,3.208281
150,27,4,3.210817
150,28,4,3.183714
150,29,4,3.185718
150,30,4,3.183484
150,32,4,3.178976
150,33,5,3.215381
150,34,5,3.230724
150,35,5,3.21522
150,36,5,3.219112
150,37,5,3.221642
150,38,5,3.227748
150,39,5,3.222043
150,40,5,3.234428
150,41,6,3.204483
150,43,6,3.197521
150,44,6,3.197987
150,45,6,3.194552
150,46,6,3.196772
150,47,6,3.206507
150,48,6,3.205755
150,49,7,3.183328
150,50,7,3.200667
150,51,7,3.195478
150,52,7,3.180078
150,53,7,3.187722
150,54,7,3.185527
150,55,7,3.190022
150,56,7,3.198143
150,57,8,0.609847
150,58,8,0.609799
150,59,8,0.63674
150,60,8,0.609814
150,61,8,0.645686
150,62,8,0.620217
150,63,8,0.626529
150,64,8,3.171797
150,65,9,3.200784
150,66,9,3.202425
150,67,9,3.200401
150,68,9,3.196359
150,69,9,3.195958
150,70,9,3.190118
150,71,9,3.197353
150,72,9,3.204415
150,73,10,3.187104
150,74,10,3.185036
150,75,10,3.184547
150,76,10,3.163625
150,77,10,3.178555
150,78,10,3.171341
150,79,10,3.183188
150,80,10,3.191049
150,81,11,3.192592
150,82,11,3.194393
150,83,11,3.177442
150,84,11,3.187362
150,85,11,3.186779
150,86,11,3.17835
150,87,11,3.191351
150,88,11,3.189177
150,89,12,3.173879
150,90,12,3.177692
150,91,12,3.184854
150,92,12,3.187475
150,93,12,3.169844
150,94,12,3.176984
150,95,12,3.185248
150,96,12,3.174723
150,97,13,3.124158
150,98,13,3.125403
150,99,13,3.134061
150,100,13,3.127755
150,101,13,3.096212
150,102,13,3.12591
150,103,13,3.114719
150,104,13,3.122473
150,105,14,3.098929
150,106,14,3.090147
150,107,14,3.088918
150,108,14,3.095644
150,109,14,3.082416
150,110,14,3.088415
150,111,14,3.088284
150,112,14,3.081447
150,113,15,3.145009
150,114,15,3.127668
150,115,15,3.111677
150,116,15,3.121562
150,117,15,3.128018
150,118,15,3.112956
150,119,15,3.105881
150,120,15,3.102715
150,121,16,3.09115
150,122,16,3.108616
150,123,16,3.112916
150,124,16,3.100196
150,125,16,3.095217
150,126,16,3.092259
150,127,16,3.11418
150,128,16,3.100685
150,129,17,3.13808
150,130,17,3.132612
150,131,17,3.140612
150,132,17,3.132108
150,133,17,3.12585
150,134,17,3.125854
150,135,17,3.130293
150,136,17,3.12705
150,137,18,3.100882
150,138,18,3.090684
150,139,18,3.12104
150,140,18,3.103438
150,141,18,3.115537
150,142,18,3.102411
150,143,18,3.111785
150,144,18,3.09674
150,145,19,2.991006
150,146,19,3.024242
150,147,19,2.980832
150,148,19,2.997603
150,149,19,2.995739
150,150,19,2.999026
150,151,19,2.992942
150,152,19,2.984689
150,153,20,2.769997
150,154,20,2.542392
150,155,20,2.569388
150,156,20,2.755881
150,157,20,2.722011
150,158,20,2.786309
150,159,20,2.732766
150,160,20,2.690143
150,161,21,3.015114
150,162,21,3.029749
150,163,21,3.023264
150,164,21,3.040317
150,165,21,2.98977
150,166,21,2.972286
150,167,21,2.990401
150,168,21,2.999004
150,169,22,2.77871608734131
150,170,22,2.58087015151978
150,171,22,2.70102643966675
150,172,22,2.56974792480469
150,173,22,2.69819808006287
150,174,22,2.70359635353088
150,175,22,2.77122402191162
150,176,22,2.72271013259888
150,177,23,3.012913
150,178,23,3.01105
150,179,23,3.002012
150,185,24,1.530684
150,186,24,1.686572
150,187,24,1.65452
200,1,1,3.203316
200,2,1,3.186427
200,3,1,3.19428
200,4,1,3.204361
200,5,1,3.20074
200,6,1,3.2171
200,7,1,3.196531
200,8,1,3.197641
200,9,2,3.194015
200,10,2,3.204726
200,11,2,3.211175
200,12,2,3.190091
200,13,2,3.188609
200,14,2,3.21265
200,15,2,3.193856
200,16,2,3.193196
200,17,3,3.212503
200,18,3,3.219234
200,19,3,3.213426
200,20,3,3.210188
200,21,3,3.211888
200,22,3,3.213229
200,23,3,3.208321
200,25,4,3.166645
200,26,4,3.185291
200,28,4,3.162594
200,29,4,3.160234
200,30,4,3.163272
200,32,4,3.155502
200,33,5,3.202345
200,34,5,3.219791
200,35,5,3.209433
200,36,5,3.207235
200,37,5,3.217888
200,38,5,3.213644
200,39,5,3.219235
200,40,5,3.223311
200,41,6,3.187664
200,43,6,3.173827
200,44,6,3.172872
200,45,6,3.183442
200,46,6,3.180026
200,47,6,3.178047
200,48,6,3.179165
200,NA,6,3.197641
200,49,7,3.166094
200,50,7,3.180787
200,51,7,3.175553
200,52,7,3.160667
200,53,7,3.169269
200,54,7,3.167505
200,55,7,3.172216
200,56,7,3.180128
200,57,8,3.156936
200,58,8,3.154365
200,59,8,3.161084
200,60,8,3.15326
200,61,8,3.135242
200,62,8,3.156967
200,63,8,3.15892
200,64,8,3.154845
200,65,9,3.180364
200,66,9,3.183038
200,67,9,3.180456
200,68,9,3.176548
200,69,9,3.174226
200,70,9,3.172849
200,71,9,3.176173
200,72,9,3.182948
200,73,10,3.164351
200,74,10,3.166134
200,75,10,3.162525
200,76,10,3.13714
200,77,10,3.152022
200,78,10,3.143442
200,79,10,3.162531
200,80,10,3.171204
200,81,11,3.178959
200,82,11,3.184677
200,83,11,3.169613
200,84,11,3.178489
200,85,11,3.178647
200,86,11,3.16813
200,87,11,3.181222
200,88,11,3.177911
200,89,12,3.157667
200,90,12,3.157102
200,91,12,3.156729
200,92,12,3.164373
200,93,12,3.141309
200,94,12,3.160849
200,95,12,3.165217
200,96,12,3.153024
200,97,13,3.081654
200,98,13,3.098362
200,99,13,3.103824
200,100,13,3.100688
200,101,13,3.068892
200,102,13,3.103287
200,103,13,3.087086
200,104,13,3.091635
200,105,14,3.058694
200,106,14,3.071835
200,107,14,3.060201
200,108,14,3.052372
200,109,14,3.061696
200,110,14,3.052737
200,111,14,3.0533
200,112,14,3.048908
200,113,15,3.113311
200,114,15,3.101319
200,115,15,3.094759
200,116,15,3.102181
200,117,15,3.111088
200,118,15,3.100834
200,119,15,3.095381
200,120,15,3.096331
200,121,16,3.056779
200,122,16,3.060362
200,123,16,3.063853
200,124,16,3.05062
200,125,16,3.068135
200,126,16,3.04668
200,127,16,3.081942
200,128,16,3.063417
200,129,17,3.108415
200,130,17,3.108474
200,131,17,3.106863
200,132,17,3.110672
200,133,17,3.099293
200,134,17,3.090341
200,135,17,3.107847
200,136,17,3.094633
200,137,18,3.07643
200,138,18,3.060412
200,139,18,3.086038
200,140,18,3.075757
200,141,18,3.082866
200,142,18,3.072897
200,143,18,3.058998
200,144,18,3.064323
200,145,19,2.948548
200,146,19,2.964915
200,147,19,2.92343
200,148,19,2.95108
200,149,19,2.934455
200,150,19,2.940307
200,151,19,2.931922
200,152,19,2.937726
200,161,21,2.95384
200,162,21,2.949888
200,163,21,2.965778
200,164,21,2.972631
200,165,21,2.958761
200,166,21,2.902247
200,167,21,2.925164
200,168,21,2.950341
200,177,23,2.91377878189087
200,178,23,2.91966414451599
200,179,23,2.91225552558899
250,1,1,3.181998
250,2,1,3.166667
250,3,1,3.175618
250,4,1,3.185131
250,5,1,3.183823
250,6,1,3.195409
250,7,1,3.177406
250,8,1,3.17533
250,9,2,3.141523
250,10,2,3.161594
250,11,2,3.16667
250,12,2,3.150693
250,13,2,3.151685
250,14,2,3.170608
250,15,2,3.153514
250,16,2,3.153284
250,17,3,3.18778610229492
250,18,3,3.19790768623352
250,19,3,3.18377876281738
250,20,3,3.18711161613464
250,21,3,3.18876123428345
250,22,3,3.18724536895752
250,23,3,3.18508005142212
250,25,4,3.149431
250,26,4,3.138956
250,28,4,3.137734
250,29,4,3.148152
250,30,4,3.152862
250,32,4,3.152729
250,33,5,3.19592690467834
250,34,5,3.20940613746643
250,35,5,3.18854451179504
250,36,5,3.1906430721283
250,37,5,3.19709372520447
250,38,5,3.2021689414978
250,39,5,3.20138835906982
250,40,5,3.19670748710632
250,41,6,3.149431
250,43,6,3.138956
250,44,6,3.137734
250,45,6,3.148152
250,46,6,3.152862
250,47,6,3.152729
250,48,6,3.143548
250,49,7,3.148244
250,50,7,3.158795
250,51,7,3.159478
250,52,7,3.145487
250,53,7,3.153884
250,54,7,3.15174
250,55,7,3.156445
250,56,7,3.163159
250,57,8,3.126921
250,58,8,3.126704
250,59,8,3.132099
250,60,8,3.1258
250,61,8,3.104603
250,62,8,3.126744
250,63,8,3.130067
250,64,8,3.126343
250,65,9,3.162686
250,66,9,3.164395
250,67,9,3.163912
250,68,9,3.160393
250,69,9,3.157768
250,70,9,3.156353
250,71,9,3.161508
250,72,9,3.16832
250,73,10,3.135831
250,74,10,3.136228
250,75,10,3.131508
250,76,10,3.107572
250,77,10,3.127025
250,78,10,3.113607
250,79,10,3.131969
250,80,10,3.142773
250,81,11,3.167408
250,82,11,3.167041
250,83,11,3.151426
250,84,11,3.165381
250,85,11,3.15682
250,86,11,3.150467
250,87,11,3.165313
250,88,11,3.162478
250,89,12,3.144632
250,90,12,3.142014
250,91,12,3.13449
250,92,12,3.145586
250,93,12,3.120476
250,94,12,3.144829
250,95,12,3.14954
250,96,12,3.135603
250,97,13,3.10278
250,98,13,3.104138
250,99,13,3.109336
250,100,13,3.108895
250,101,13,3.077645
250,102,13,3.102204
250,103,13,3.086354
250,104,13,3.092402
250,105,14,2.984819
250,106,14,3.02013
250,107,14,2.994819
250,108,14,2.989801
250,109,14,2.98987
250,110,14,2.990493
250,111,14,2.991752
250,112,14,2.998684
250,113,15,3.08612
250,114,15,3.076011
250,115,15,3.075328
250,116,15,3.07941
250,117,15,3.085089
250,118,15,3.07799
250,119,15,3.06989
250,120,15,3.064892
250,121,16,3.050772
250,122,16,3.060679
250,123,16,3.065239
250,124,16,3.058524
250,125,16,3.075153
250,126,16,3.063059
250,127,16,3.07211
250,128,16,3.075631
250,129,17,3.064573
250,130,17,3.064906
250,131,17,3.07157
250,132,17,3.073266
250,133,17,3.05318
250,134,17,3.062661
250,135,17,3.089782
250,136,17,3.081402
250,137,18,3.072171
250,138,18,3.070778
250,139,18,3.096189
250,140,18,3.079271
250,141,18,3.08725
250,142,18,3.081303
250,143,18,3.07949
250,144,18,3.066773
250,145,19,2.940634
250,146,19,2.955556
250,147,19,2.908803
250,148,19,2.925977
250,149,19,2.915636
250,150,19,2.963981
250,151,19,2.935021
250,152,19,2.952278
250,153,20,1.168188
250,154,20,1.203936
250,155,20,1.168411
250,156,20,1.369515
250,157,20,0.4980886
250,158,20,1.301793
250,159,20,1.232834
250,160,20,1.431272
250,161,21,2.908182
250,162,21,2.908303
250,163,21,2.906938
250,164,21,2.916667
250,165,21,2.912558
250,166,21,2.823362
250,167,21,2.863402
250,168,21,2.895455
250,169,22,1.514495
250,170,22,1.229836
250,171,22,1.495334
250,172,22,1.352605
250,173,22,1.325403
250,174,22,1.436251
250,175,22,1.589322
250,176,22,1.390596
250,177,23,2.807092
250,178,23,2.85509
250,179,23,2.805874
300,1,1,3.180907
300,2,1,3.164724
300,3,1,3.172228
300,4,1,3.181854
300,5,1,3.181621
300,6,1,3.188589
300,7,1,3.177588
300,8,1,3.17046
300,9,2,3.13368
300,10,2,3.16005
300,11,2,3.159042
300,12,2,3.137981
300,13,2,3.142774
300,14,2,3.167035
300,15,2,3.151183
300,16,2,3.152539
300,17,3,3.182538
300,18,3,3.19223
300,19,3,3.191773
300,20,3,3.192575
300,21,3,3.194846
300,22,3,3.198238
300,23,3,3.193976
300,NA,3,3.070866
300,25,4,3.148093
300,26,4,3.16239
300,28,4,3.147439
300,29,4,3.130182
300,30,4,3.142771
300,32,4,3.126379
300,33,5,3.176701
300,34,5,3.198579
300,35,5,3.179921
300,36,5,3.179935
300,37,5,3.18799
300,38,5,3.187602
300,39,5,3.175855
300,40,5,3.183352
300,41,6,3.160055
300,43,6,3.146798
300,44,6,3.148535
300,45,6,3.150553
300,46,6,3.159605
300,47,6,3.157177
300,48,6,3.14776
300,49,7,3.152741
300,50,7,3.166249
300,51,7,3.163041
300,52,7,3.148577
300,53,7,3.158055
300,54,7,3.154886
300,55,7,3.158422
300,56,7,3.168069
300,57,8,3.118996
300,58,8,3.119222
300,59,8,3.128119
300,60,8,3.12342
300,61,8,3.101372
300,62,8,3.118894
300,63,8,3.122212
300,64,8,3.12533
300,65,9,3.162951
300,66,9,3.164043
300,67,9,3.164502
300,68,9,3.165106
300,69,9,3.162217
300,70,9,3.162751
300,71,9,3.165948
300,72,9,3.171129
300,73,10,3.114738
300,74,10,3.118959
300,75,10,3.113247
300,76,10,3.08787
300,77,10,3.108341
300,78,10,3.091645
300,79,10,3.113737
300,80,10,3.125487
300,81,11,3.153595
300,82,11,3.152783
300,83,11,3.137602
300,84,11,3.152231
300,85,11,3.141407
300,86,11,3.13518
300,87,11,3.152079
300,88,11,3.148843
300,89,12,3.147493
300,90,12,3.144724
300,91,12,3.137682
300,92,12,3.148084
300,93,12,3.120132
300,94,12,3.145858
300,95,12,3.148603
300,96,12,3.138226
300,97,13,3.037272
300,98,13,3.03303
300,99,13,3.042385
300,100,13,3.039839
300,101,13,3.009792
300,102,13,3.045214
300,103,13,3.022467
300,104,13,3.027524
300,105,14,2.989592
300,106,14,3.01226
300,107,14,2.974802
300,108,14,2.981606
300,109,14,2.997079
300,110,14,2.982474
300,111,14,2.98931
300,112,14,2.982833
300,113,15,3.091532
300,114,15,3.085307
300,115,15,3.071103
300,116,15,3.080357
300,117,15,3.08543
300,118,15,3.079834
300,119,15,3.072754
300,120,15,3.071643
300,121,16,2.928055
300,122,16,2.934634
300,123,16,2.94678
300,124,16,2.954723
300,125,16,2.949363
300,126,16,2.943448
300,127,16,2.959514
300,128,16,2.94979
300,129,17,3.059271
300,130,17,3.070562
300,131,17,3.083001
300,132,17,3.091422
300,133,17,3.062454
300,134,17,3.07186
300,135,17,3.07832
300,136,17,3.070866
300,137,18,2.993223
300,138,18,2.983314
300,139,18,3.00863
300,140,18,2.98675
300,141,18,3.002975
300,142,18,3.005266
300,143,18,2.98823
300,144,18,2.987463
300,145,19,2.733645
300,146,19,2.800639
300,147,19,2.711715
300,148,19,2.694406
300,149,19,2.737369
300,150,19,2.802803
300,151,19,2.767038
300,152,19,2.758815
300,161,21,2.882784
300,162,21,2.871143
300,163,21,2.865997
300,164,21,2.853766
300,165,21,2.870822
300,166,21,2.661018
300,167,21,2.730377
300,168,21,2.835848
300,177,23,2.46584
300,178,23,2.505003
300,179,23,2.467183
350,1,1,3.170819
350,2,1,3.156398
350,3,1,3.164512
350,4,1,3.175403
350,5,1,3.17789
350,6,1,3.182567
350,7,1,3.162606
350,8,1,3.160784
350,9,2,3.123771
350,10,2,3.147696
350,11,2,3.148333
350,12,2,3.124977
350,13,2,3.130121
350,14,2,3.157466
350,15,2,3.142192
350,16,2,3.142078
350,17,3,3.154197
350,18,3,3.162035
350,19,3,3.152488
350,20,3,3.158606
350,21,3,3.159525
350,22,3,3.161671
350,23,3,3.16627
350,25,4,3.133412
350,26,4,3.150501
350,28,4,3.13252
350,29,4,3.110614
350,30,4,3.13061
350,32,4,3.108829
350,33,5,3.152
350,34,5,3.171231
350,35,5,3.15262
350,36,5,3.154469
350,37,5,3.159221
350,38,5,3.153608
350,39,5,3.141639
350,40,5,3.165576
350,41,6,3.14913
350,43,6,3.132993
350,44,6,3.13778
350,45,6,3.136062
350,46,6,3.148805
350,47,6,3.147273
350,48,6,3.132183
350,49,7,3.106574
350,50,7,3.123881
350,51,7,3.120712
350,52,7,3.105328
350,53,7,3.113129
350,54,7,3.110989
350,55,7,3.113313
350,56,7,3.122476
350,57,8,3.090245
350,58,8,3.089208
350,59,8,3.096024
350,60,8,3.094816
350,61,8,3.068008
350,62,8,3.09029
350,63,8,3.095747
350,64,8,3.096317
350,65,9,3.120291
350,66,9,3.129033
350,67,9,3.128465
350,68,9,3.124201
350,69,9,3.119088
350,70,9,3.121138
350,71,9,3.123822
350,72,9,3.129073
350,73,10,3.115361
350,74,10,3.119032
350,75,10,3.108705
350,76,10,3.086665
350,77,10,3.103949
350,78,10,3.089555
350,79,10,3.109957
350,80,10,3.12269
350,81,11,3.156357
350,82,11,3.160001
350,83,11,3.142367
350,84,11,3.157702
350,85,11,3.144917
350,86,11,3.139026
350,87,11,3.157435
350,88,11,3.156138
350,89,12,3.102711
350,90,12,3.102823
350,91,12,3.100657
350,92,12,3.107989
350,93,12,3.085896
350,94,12,3.101067
350,95,12,3.103568
350,96,12,3.097716
350,97,13,3.022101
350,98,13,3.02218
350,99,13,3.029914
350,100,13,3.027969
350,101,13,2.991624
350,102,13,3.031427
350,103,13,2.997185
350,104,13,3.010427
350,105,14,2.955547
350,106,14,2.981865
350,107,14,2.944399
350,108,14,2.933084
350,109,14,2.934094
350,110,14,2.940896
350,111,14,2.942345
350,112,14,2.940091
350,113,15,3.017894
350,114,15,3.01011
350,115,15,3.00671
350,116,15,3.010136
350,117,15,3.009109
350,118,15,3.008509
350,119,15,3.006875
350,120,15,3.001727
350,121,16,2.949255
350,122,16,2.956307
350,123,16,2.956306
350,124,16,2.965288
350,125,16,2.961145
350,126,16,2.948467
350,127,16,2.968038
350,128,16,2.951446
350,129,17,3.030786
350,130,17,3.032119
350,131,17,3.039298
350,132,17,3.038127
350,133,17,3.018182
350,134,17,3.021646
350,135,17,3.037163
350,136,17,3.023206
350,137,18,2.978343
350,138,18,2.981158
350,139,18,3.005832
350,140,18,2.992537
350,141,18,3.005681
350,142,18,3.006221
350,143,18,2.987005
350,144,18,2.988
350,145,19,2.672012
350,146,19,2.772135
350,147,19,2.641607
350,148,19,2.607533
350,149,19,2.596701
350,150,19,2.75952
350,151,19,2.702765
350,152,19,2.673112
350,161,21,2.708712
350,162,21,2.667331
350,163,21,2.58842
350,164,21,2.649607
350,165,21,2.746147
350,166,21,2.188551
350,167,21,2.387292
350,168,21,2.647632
400,1,1,3.152591
400,2,1,3.140967
400,3,1,3.151234
400,4,1,3.154666
400,5,1,3.15593
400,6,1,3.159253
400,7,1,3.141799
400,8,1,3.145834
400,9,2,3.107057
400,10,2,3.132357
400,11,2,3.131166
400,12,2,3.106148
400,13,2,3.112666
400,14,2,3.141949
400,15,2,3.124739
400,16,2,3.125221
400,17,3,3.152413
400,18,3,3.162147
400,19,3,3.159186
400,20,3,3.156934
400,21,3,3.159338
400,22,3,3.170382
400,23,3,3.167073
